"AIRPORT","AIRPORT_ID","LATITUDE","LONGITUDE","Closest_Station"
"01A",10001,58.10944444,-152.9066667,"USW00025501"
"03A",10003,65.54805556,-161.0716667,"USW00026645"
"04A",10004,68.08333333,-163.1666667,"USW00026655"
"05A",10005,67.57,-148.1838889,"USW00026480"
"06A",10006,57.74527778,-152.8827778,"USL000KDAA2"
"07A",10007,55.55472222,-133.1016667,"USW00025367"
"08A",10008,59.15694444,-151.8291667,"USL000FILA2"
"09A",10009,59.36277778,-153.4305556,"USL000AUGA2"
"1AK",16923,60.81833333,-164.5188889,"USA00702987"
"1B1",10010,42.29013889,-73.71027778,"USC00304025"
"1CA",16843,38.19333333,-121.7036111,"USW00023202"
"1CT",17031,42.01361111,-72.47277778,"USP198046-1"
"1FL",13750,28.615,-80.69444444,"USW00092821"
"1G4",10011,35.988194445,-113.81666665,"USW00053184"
"1GA",16842,33.39,-84.33111111,"USI0000KHMP"
"1N7",10012,40.97111111,-74.9975,"USW00054779"
"1NC",14668,36.43944444,-77.70944444,"USW00093781"
"1NJ",16990,41.0086111,-74.73805556,"USW00054779"
"1NY",16571,42.6370370333333,-77.05277778,"USW00054778"
"1OH",16935,41.68416667,-81.38972222,"USI0000KLNN"
"1PA",16959,39.95916667,-79.6575,"USW00093795"
"1TN",16840,35.65638889,-88.19527778,"USI0000KPVE"
"1TX",16853,35.8575,-102.0133333,"USW00003070"
"1VA",16951,38.58638889,-77.71055556,"USW00000367"
"1WA",16908,47.96694444,-117.4286111,"USW00094119"
"2AK",16982,56.51972222,-134.6794444,"USL000LPWA2"
"2CA",16844,35.74555556,-119.2363889,"USI0000KDLO"
"2FL",16901,26.84583333,-80.22222222,"USI0000KF45"
"2GA",16848,31.21305556,-84.23527778,"USI0000KCXU"
"2NC",16934,35.65444444,-79.89472222,"USW00003709"
"2NJ",17008,39.65555556,-75.01444444,"USW00013771"
"2NY",16830,40.8275,-73.71694444,"USL000KPTN6"
"2PA",17024,39.90333333,-75.16361111,"USW00013771"
"2TN",16898,35.48611111,-84.93111111,"USI0000K2A0"
"2TX",16897,30.21972222,-96.37444444,"USW00053928"
"2VA",16980,37.31277777,-76.63833333,"USC00449151"
"2WA",17037,47.28333333,-122.4736111,"USL000TCMW1"
"2WK",16983,47.3475,-118.6772222,"USC00453515"
"3AK",16992,64.40972222,-155.4911111,"USW00026561"
