AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,LATITUDE,LONGITUDE
10001,01A,Afognak Lake Airport,58.10944444,-152.9066667
10003,03A,Bear Creek Mining Strip,65.54805556,-161.0716667
10004,04A,Lik Mining Camp,68.08333333,-163.1666667
10005,05A,Little Squaw Airport,67.57,-148.1838889
10006,06A,Kizhuyak Bay,57.74527778,-152.8827778
10007,07A,Klawock Seaplane Base,55.55472222,-133.1016667
10008,08A,Elizabeth Island Airport,59.15694444,-151.8291667
10009,09A,Augustin Island,59.36277778,-153.4305556
10010,1B1,Columbia County,42.28888889,-73.71027778
10010,1B1,Columbia County,42.29138889,-73.71027778
10011,1G4,Grand Canyon West,35.99027778,-113.8163889
10011,1G4,Grand Canyon West,35.98611111,-113.8169444
10011,1G4,Grand Canyon West,35.99027778,-113.8163889
10011,1G4,Grand Canyon West,35.98611111,-113.8169444
10012,1N7,Blairstown Airport,40.97111111,-74.9975
10013,8F3,Crosbyton Municipal,33.62388889,-101.2408333
10014,A01,Blair Lake,64.36416667,-147.3613889
10014,A01,Blair Lake,64.36361111,-147.3638889
10015,A02,Deadmans Bay Airport,57.06666667,-153.9377778
10016,A03,Hallo Bay Airport,58.4575,-154.0233333
10017,A04,Red Lake Airport,57.27722222,-154.3422222
10018,A05,Shell Lake Airport,61.96388889,-151.5558333
10019,A06,Navigator Airstrip,65.65555556,-165.3563889
10020,A07,Roland Norton Memorial Airstrip,66.76583333,-160.1525
10020,A07,Roland Norton Memorial,66.76611111,-160.1527778
10021,A08,Pillar Bay Airport,56.59805556,-134.2427778
10022,JOH,Johnstone Point Airport,60.48138889,-146.5822222
10022,A09,Johnstone Point Airport,60.48222222,-146.5822222
10022,A09,Johnstone Point Airport,60.48166667,-146.5841667
10022,A09,Johnstone Point Airport,60.48222222,-146.5822222
10022,A09,Johnstone Point Airport,60.48166667,-146.5841667
10023,TLK,Tikchik Lodge Airport,59.95555556,-158.4805556
10023,KTH,Tikchik Lodge Airport,59.95555556,-158.4805556
10024,A11,Bell Creek Airport,60.78388889,-159.5402778
10025,A12,Cinnabar Airport,60.78527778,-158.8644444
10026,A13,Mountaintop Mine Airport,61.39027778,-157.9955556
10027,A14,Whitebear Airport,61.18888889,-159.8583333
10028,A15,Puviaq Airport,70.71861111,-154.3883333
10028,A15,Puviaq Airport,70.71555556,-154.4069444
10029,A16,Arley Lake Airport,70.74694444,-155.3608333
10030,A17,Port Vita Airport,58.06555556,-153.0725
10031,A18,Kantishna Airport,63.54166667,-150.9938889
10031,A18,Kantishna Airport,63.54111111,-150.995
10031,A18,Kantishna Airport,63.54166667,-150.9938889
10031,A18,Kantishna Airport,63.54111111,-150.995
10033,A20,Alpine Airstrip,70.34416667,-150.9447222
10034,A21,Serpentine Airport,65.85138889,-164.7027778
10035,A22,Driftwood Bay Airport,53.97277778,-166.8569444
10036,A23,Bradley Lake Airport,59.77611111,-151.9636111
10037,A24,Chilkat Lake Airport,59.33166667,-135.8966667
10038,A25,Nugget Creek Airport,59.28833333,-136.1738889
10039,A26,Ivotuk Airstrip,68.48333333,-155.7333333
10040,A27,Pogo Mines Airport,64.44,-144.9363889
10041,A28,Ayakulik River Airport,57.25388889,-154.4222222
10042,A29,Kiluda Bay Airport,57.32305556,-153.1494444
10043,A30,Terror Lake Airport,57.96388889,-153.0583333
10044,A31,Selief Bay Airport,58.98277778,-153.1833333
10047,A34,Laura Lake Airport,58.36194444,-152.3122222
10049,A36,Deep Bay Airport,55.56027778,-131.6555556
10050,A37,Kako Airport,61.89888889,-161.4380556
10050,A37,Kako Airport,61.89888889,-161.4397222
10051,A38,Molly Creek Airport,64.09722222,-143.2666667
10052,A39,Ptarmigan Lake Airport,61.86611111,-141.1597222
10053,A40,Cape Simpson Airport,71.05694444,-154.7283333
10054,A41,Kogru River Airport,70.57611111,-152.2711111
10054,A41,Kogru River Airport,70.57472222,-152.2588889
10055,A42,Teshepkuk Lake Airport,70.35833333,-153.1966667
10056,A43,Trident Basin Seaplane Base,57.78083333,-152.3911111
10058,A45,Lake Florence Airport,57.81666667,-134.5833333
10059,A46,Lake Hasselborg Airport,57.7,-134.2666667
10060,A47,Distin Lake Airport,57.61666667,-134.3666667
10061,A48,Port Hobron Airport,57.15,-153.15
10062,A49,Mooseville Airstrip Airport,70.28444444,-152.2119444
10063,A50,Big Bay Airport,58.5625,-152.5961111
10064,A51,Wien Lake Airport,64.35277778,-151.275
10065,A52,Silver Salmon Creek Airport,59.96388889,-152.6822222
10066,A53,Blear Lake Airport,64.33333333,-147.5
10067,A54,Cannery Bay Airport,53.68333333,-166.75
10069,A56,Johnsons Landing,56.03666667,-160.2661111
10070,VZK,International Seafoods Airport,58.26666667,-157.5333333
10070,A57,International Seafoods Airport,58.26666667,-157.5333333
10071,A58,Cosna River Airport,64.5,-151.6666667
10072,A59,Ivatuk Airport,68.48777778,-155.7575
10074,A61,Cape Sarichef AFS,54.58333333,-164.9125
10074,A61,Cape Sarichef Airport,54.5825,-164.9144444
10075,A62,Taylor Mountain,60.86777778,-157.3919444
10076,A63,Coal Creek,65.31111111,-143.1352778
10076,A63,Coal Creek,65.31138889,-143.1355556
10076,A63,Coal Creek,65.31166667,-143.1341667
10076,A63,Coal Creek,65.31138889,-143.1355556
10076,A63,Coal Creek,65.31166667,-143.1341667
10078,A65,Karluk Portage Airport,57.53833333,-154.1644444
10079,A66,Hope Airport,60.90555556,-149.6238889
10079,A66,Hope Airport,60.90416667,-149.6238889
10079,A66,Hope Airport,60.90722222,-149.6227778
10079,A66,Hope Airport,60.90416667,-149.6238889
10079,A66,Hope Airport,60.90722222,-149.6227778
10080,A67,Viekoda Bay Airport,57.84944444,-153.1152778
10082,A69,Cathedral Strip,55.74,-162.1252778
10083,A70,Village Islands Airport,57.77416667,-153.5447222
10084,A71,Bear Cove Farm,59.73833333,-151.03
10085,A72,Chinitna Bay Airport,59.83333333,-152.5847222
10086,A73,McKinley National Park,63.7325,-148.9105556
10087,A74,Dog Fish Bay,59.24111111,-151.8772222
10088,A75,Malina Bay Airport,58.17194444,-152.8941667
10089,A76,Red Fox Bay Airport,58.46444444,-152.5930556
10090,A77,Shearwater Airport,57.34333333,-152.8972222
10091,A78,Lake,71.03,-154.4436111
10092,A79,Cape Simpson No. 1,71.50166667,-154.0338889
10093,A80,Cape Simpson No. 7,70.57388889,-155.3213889
10094,A81,Cape Simpson #1,70.66277778,-154.8366667
10095,A82,Nikiski Private Airstrip,60.69027778,-151.2888889
10096,A83,Petrof Point Airport,59.37638889,-150.765
10097,A84,Denali West Lodge Private,63.75555556,-147.93
10098,A85,Big River Airport,61.85944444,-154.2766667
10100,A87,Carry Inlet Airport,58.58305556,-152.4458333
10102,A89,Montague Island Airport,59.925,-147.5166667
10103,A90,Shannon Pond Airport,59.03916667,-158.4638889
10104,A91,Omalik Lagoon Airport,69.15555556,-163.4972222
10105,A92,Omolik Lagoon Airport,69.14805556,-163.5102778
10106,A93,Bradley Lake Project Airport,59.79166667,-151.2666667
10107,A94,Ice Strip,70.57416667,-155.3180556
10108,A95,Ice Strip,70.31194444,-153.2491667
10109,A96,Ice Strip,70.98083333,-157.095
10110,A97,Akulik Air Strip,68.98555556,-163.4797222
10111,A98,Deadfall Air Strip,69.17083333,-163.2563889
10112,A99,Eagle Creek Airport,68.67666667,-162.6469444
10113,AA1,Ice Kong,59.95277778,-162.6169444
10116,AA4,Glacier Split,59.63333333,-151.2083333
10117,AA5,Selby Lake Airport,66.95583333,-155.615
10118,AAA,Anaa Airport,-17.35388889,-145.5097222
10118,AAA,Anaa Airport,-17.3525,-145.51
10119,AAB,Arrabury Station,-26.7,141.0416667
10120,AAC,El Arish International,31.07638889,33.83333333
10120,AAC,El Arish International,31.07333333,33.83583333
10120,AAC,El Arish International,31.05555556,33.8275
10120,AAC,El Arish International,31.05444444,33.81916667
10121,AAE,Rabah Bitat,36.82166667,7.81
10121,AAE,Rabah Bitat,36.82222222,7.80944444
10121,AAE,Rabah Bitat,36.82944444,7.81388889
10122,AAF,Apalachicola Regional,29.7275,-85.0275
10122,AAF,Apalachicola Regional Cleve Randolph Field,29.7275,-85.0275
10122,AAF,Apalachicola Regional,29.7275,-85.0275
10122,AAF,Apalachicola Regional Cleve Randolph Field,29.7275,-85.0275
10123,AAH,Aachen/Merzbruck,50.82305556,6.18611111
10123,AAH,Aachen/Merzbruck,50.82305556,6.18611111
10123,AAH,Aachen/Merzbruck,50.82305556,6.1875
10123,AAH,Aachen Merzbrueck,50.82305556,6.1875
10123,AAH,Aachen Merzbruck,50.82305556,6.1875
10123,AAH,Aachen Merzbrueck,50.82305556,6.1875
10123,AAH,Aachen Merzbrueck,50.82166667,6.18416667
10124,AAI,Arraias Airport,-12.91666667,-46.93333333
10124,AAI,Arraias Airport,-13.025,-46.88416667
10124,AAI,Arraias Airport,-13.02583333,-46.88361111
10124,AAI,Arraias Airport,-13.025,-46.88416667
10124,AAI,Arraias Airport,-13.02583333,-46.88361111
10125,AAL,Aalborg Airport,57.09305556,9.85
10125,AAL,Aalborg Airport,57.09277778,9.84916667
10125,AAL,Aalborg Airport,57.09416667,9.85583333
10126,AAM,Malamala,-24.80833333,31.54166667
10126,AAM,Malamala,-24.81694444,31.54416667
10127,AAN,Al Ain International,24.26166667,55.60916667
10127,AAN,Al Ain International,24.26194444,55.6075
10127,AAN,Al Ain International,24.26166667,55.60916667
10128,AAO,Anaco Airport,9.43194444,-64.46388889
10128,AAO,Anaco Airport,9.43027778,-64.47083333
10128,AAO,Anaco Airport,9.43,-64.47083333
10128,AAO,Anaco Airport,9.43027778,-64.47083333
10128,AAO,Anaco Airport,9.43,-64.47083333
10129,AAQ,Vityazevo,44.9,37.31666667
10129,AAQ,Vityazevo,45.00222222,37.34722222
10129,AAQ,Anapa Airport,45.00222222,37.34722222
10129,AAQ,Vityazevo,45.00222222,37.34722222
10130,AAR,Tirstrup,56.31027778,10.61805556
10130,AAR,Tirstrup,56.30388889,10.62
10130,AAR,Aarhus Airport,56.3,10.61888889
10130,AAR,Aarhus Airport,56.30416667,10.61944444
10131,AAU,Asau W Sam,-13.51666667,-172.65
10132,AAX,Araxa Airport,-19.56805556,-46.92916667
10132,AAX,Araxa Airport,-19.56333333,-46.96027778
10132,AAX,Romeu Zema,-19.56333333,-46.96027778
10134,ABD,Abadan Airport,30.36611111,48.23222222
10134,ABD,Abadan Airport,30.36611111,48.23222222
10134,ABD,Abadan Airport,30.36527778,48.23305556
10135,ABE,Lehigh Valley International,40.65472222,-75.43833333
10135,ABE,Lehigh Valley International,40.65222222,-75.44027778
10135,ABE,Lehigh Valley International,40.65222222,-75.44055556
10135,ABE,Lehigh Valley International,40.65222222,-75.44027778
10135,ABE,Lehigh Valley International,40.65222222,-75.44055556
10135,ABE,Lehigh Valley International,40.6525,-75.44027778
10136,ABI,Abilene Regional,32.40944444,-99.67972222
10136,ABI,Abilene Regional,32.41111111,-99.68166667
10136,ABI,Abilene Regional,32.41138889,-99.68194444
10137,ABJ,Abidjan Felix Houphouet Boigny International,5.25555556,-3.92916667
10137,ABJ,Abidjan Felix Houphouet Boigny International,5.26138889,-3.92583333
10137,ABJ,Felix Houphouet Boigny Abidjan,5.26138889,-3.92583333
10137,ABJ,Felix Houphouet Boigny Abidjan International,5.26138889,-3.92583333
10137,ABJ,Abidjan Felix Houphouet Boigny International,5.26138889,-3.92583333
10137,ABJ,Felix Houphouet Boigny Abidjan International,5.26138889,-3.92583333
10138,ABK,Kabri Dar Airport,6.73388889,44.26611111
10138,ABK,Kebri Dahar,6.73277778,44.24166667
10138,ABK,Kebri Dahar,6.73277778,44.24138889
10138,ABK,Kebri Dahar,6.73277778,44.24166667
10138,ABK,Kebri Dahar,6.73277778,44.24138889
10139,ABL,Ambler River,67.0875,-157.8458333
10140,ABQ,Albuquerque International Sunport,35.04166667,-106.6063889
10140,ABQ,Albuquerque International Sunport,35.04027778,-106.6091667
10140,ABQ,Albuquerque International Sunport,35.03888889,-106.6083333
10140,ABQ,Albuquerque International Sunport,35.04027778,-106.6091667
10140,ABQ,Albuquerque International Sunport,35.03888889,-106.6083333
10141,ABR,Aberdeen Regional,45.44972222,-98.42166667
10141,ABR,Aberdeen Regional,45.44916667,-98.42194444
10141,ABR,Aberdeen Regional,45.44833333,-98.4225
10141,ABR,Aberdeen Regional,45.44666667,-98.4225
10141,ABR,Aberdeen Regional,45.44916667,-98.42194444
10141,ABR,Aberdeen Regional,45.44666667,-98.4225
10142,ABS,Abu Simbel Airport,22.37222222,31.61527778
10142,ABS,Abu Simbel Airport,22.37472222,31.60944444
10142,ABS,Abu Simbel Airport,22.37583333,31.61166667
10142,ABS,Abu Simbel Airport,22.37472222,31.60944444
10142,ABS,Abu Simbel Airport,22.37583333,31.61166667
10143,BBH,Al-Baha Airport,20.29611111,41.63416667
10143,ABT,Al-Baha Airport,20.29611111,41.63416667
10143,ABT,King Saud Bin Abdulaziz,20.29611111,41.63416667
10143,ABT,Al Baha,20.29611111,41.63416667
10143,ABT,King Saud Bin Abdulaziz,20.29611111,41.63416667
10143,ABT,King Saud Bin Abdulaziz,20.29833333,41.63583333
10144,ABV,Abuja Nnamdi Azikiwe International,9.00555556,7.26611111
10144,ABV,Abuja Nnamdi Azikiwe International,9.00666667,7.26305556
10144,ABV,Nnamdi Azikiwe International,9.00666667,7.26305556
10144,ABV,Abuja Nnamdi Azikiwe International,9.00666667,7.26305556
10144,ABV,Nnamdi Azikiwe International,9.00666667,7.26305556
10145,ABX,Albury Airport,-36.06833333,146.9766667
