"AIRPORT","AIRPORT_ID","LATITUDE","LONGITUDE","Closest_Station","Closest_Distance"
"ABE",10135,40.6526851833333,-75.4400462983333,"USW00014737",0.733523519334692
"ABI",10136,32.4106481466667,-99.68111111,"USW00013962",0.0742494676125244
"ABQ",10140,35.040000002,-106.608277778,"USW00023050",0.699292650334596
"ABR",10141,45.4482870383333,-98.422175925,"USW00014929",1.08501453576706
"ABY",10146,31.53388889,-84.195277775,"USW00013869",0.283575181170947
"ACK",10154,41.2537037066667,-70.06013889,"USW00014756",0.117351234183224
"ACT",10155,31.611805555,-97.229444445,"USW00013959",0.708250403369064
"ACV",10157,40.978101855,-124.108287035,"USW00024283",0.301928045070306
"ACY",10158,39.456944445,-74.57777778,"USW00013753",0.906129019844005
"ADK",10165,51.8806944466667,-176.644629628333,"USW00025701",0.468847133476551
"ADQ",10170,57.74986111,-152.49388889,"USW00025501",0.358997460717519
"AEX",10185,31.325833335,-92.547777775,"USW00013934",1.03728609817514
"AGS",10208,33.3694444466667,-81.96444444,"USW00003820",0.467465992368702
"AKN",10245,58.677083335,-156.65013889,"USU070326-1",0.787671842757615
"ALB",10257,42.7475,-73.80361111,"USW00014735",0.361736890284992
"ALO",10268,42.5571296266667,-92.40037037,"USW00094910",0.315019393357328
"ALS",10272,37.435333334,-105.867111114,"USW00023061",0.65781821533612
"ALW",10275,46.0945370366667,-118.287453703333,"USW00024160",0.128425085494584
"AMA",10279,35.2246296266667,-101.71657407,"USC00410213",1.11978401680975
"ANC",10299,61.1734722216667,-149.995046298333,"USW00026491",1.70870154376848
"APN",10333,45.079861115,-83.558055555,"USW00094849",1.0352274606461
"ART",10361,43.991722218,-76.020277778,"USW00094790",0.58093058553828
"ASE",10372,39.222833334,-106.868666666,"USW00093073",0.814111633463156
"ATL",10397,33.6384523814286,-84.4276190485714,"USW00013874",1.66415149040471
"ATW",10408,44.258000004,-88.519333336,"USW00004825",0.989862376352439
"ATY",10409,44.9105555566667,-97.1543518533333,"USW00014946",0.787766421476823
"AUS",10423,30.19444444,-97.67,"USW00013904",1.58588467159563
"AVL",10431,35.4353703683333,-82.5420833316667,"USW00003812",0.56317537974273
"AVP",10434,41.33861111,-75.72383333,"USW00014777",0.563849328326982
"AZA",10466,33.30777778,-111.65555556,"USW00023104",2.46364076395953
"AZO",10469,42.235416665,-85.55263889,"USW00094815",0.957103377473292
"BAL",10821,39.17555556,-76.67138889,"USW00093721",1.13245621436095
"BDL",10529,41.9387698428571,-72.6834523785714,"USW00014740",0.190853337511635
"BET",10551,60.781527775,-161.834305555,"USW00026615",0.468998107457939
"BFF",10558,41.87490741,-103.59925926,"USW00024028",0.154141615502152
"BFL",10561,35.4325,-119.055555556667,"USW00023155",0.190444083833627
"BFM",10562,30.6265740766667,-88.06805556,"USW00013838",1.40290846304962
"BGM",10577,42.207055554,-75.97761111,"USW00004725",1.0049419043959
"BGR",10581,44.80763889,-68.82791667,"USW00014601",1.22662804910096
"BHC",10590,35.16333333,-114.56444444,"USW00053135",0.82183174624465
"BHM",10599,33.5632638925,-86.754722225,"USW00013876",0.937516427706315
"BIH",10617,37.373111114,-118.363888888,"USW00023157",0.494331009008728
"BIL",10620,45.8075,-108.543055556667,"USW00024033",0.238323994008708
"BIS",10627,46.775833335,-100.749166665,"USW00094071",1.01756163972181
"BJI",10631,47.5098611075,-94.934166665,"USW00014958",1.09843591363563
"BKG",10643,36.53194444,-93.20055556,"USW00000207",0.137746891670212
"BLI",10666,48.79361111,-122.53611111,"USW00024217",0.703078400464452
"BLV",10676,38.5444444466667,-89.8405555566667,"USW00013802",1.02771919249114
"BMI",10685,40.4787962933333,-88.91972222,"USW00054831",2.60931638425964
"BNA",10693,36.125555555,-86.68,"USW00013897",1.81517755847163
"BOI",10713,43.56486111,-116.22388889,"USW00024131",1.36536634340074
"BOS",10721,42.363333335,-71.00625,"USW00014739",0.415601586120331
"BPT",10728,29.95083333,-94.020277778,"USW00012917",0.57334321982359
"BQK",10731,31.2589814833333,-81.46638889,"USW00053883",0.0289159993657146
"BQN",10732,18.49486111,-67.12944444,"RQW00011603",0.01851741610427
"BRD",10739,46.4011904771429,-94.1355555571429,"USW00094938",0.645543562318781
"BRO",10747,25.90722222,-97.4263888883333,"USI0000KBRO",0.0677884342625736
"BRW",10754,71.285,-156.76811111,"USW00027502",1.04586905375054
"BSM",10423,30.19444444,-97.67,"USW00013904",1.58588467159563
"BTM",10779,45.952916665,-112.495694445,"USW00024135",1.35091122577824
"BTR",10781,30.53266667,-91.150111112,"USW00013970",0.648378404894937
"BTV",10785,44.47236111,-73.153194445,"USW00014742",0.517853093061751
"BUF",10792,42.9406481516667,-78.7324074083333,"USW00014733",0.98183651279485
"BUR",10800,34.2001851866667,-118.358055556667,"USW00023152",0.695935844989025
"BWI",10821,39.175444444,-76.668888888,"USW00093721",1.34120527990671
"BZN",10849,45.7777777771429,-111.152341268571,"USW00024132",1.28924342142679
"CAE",10868,33.9386111133333,-81.1181481466667,"USW00013883",1.11080184721896
"CAK",10874,40.914444445,-81.44263889,"USW00014895",0.410257473508911
"CDB",10917,55.2046296283333,-162.724583331667,"USW00025624",1.84039076036267
"CDC",10918,37.701666665,-113.0975,"USW00093129",0.562164955093367
"CDV",10926,60.4925925966667,-145.4725,"USW00026410",1.70002848051108
"CGI",10967,37.224444445,-89.57125,"USW00003935",0.663338006019151
