"AIRPORT","AIRPORT_ID","LATITUDE","LONGITUDE"
"ABE",10135,40.6526851833333,-75.4400462983333
"ABI",10136,32.4106481466667,-99.68111111
"ABQ",10140,35.040000002,-106.608277778
"ABR",10141,45.4482870383333,-98.422175925
"ABY",10146,31.53388889,-84.195277775
"ACK",10154,41.2537037066667,-70.06013889
"ACT",10155,31.611805555,-97.229444445
"ACV",10157,40.978101855,-124.108287035
"ACY",10158,39.456944445,-74.57777778
"ADK",10165,51.8806944466667,-176.644629628333
"ADQ",10170,57.74986111,-152.49388889
"AEX",10185,31.325833335,-92.547777775
"AGS",10208,33.3694444466667,-81.96444444
"AKN",10245,58.677083335,-156.65013889
"ALB",10257,42.7475,-73.80361111
"ALO",10268,42.5571296266667,-92.40037037
"ALS",10272,37.435333334,-105.867111114
"ALW",10275,46.0945370366667,-118.287453703333
"AMA",10279,35.2246296266667,-101.71657407
"ANC",10299,61.1734722216667,-149.995046298333
"APN",10333,45.079861115,-83.558055555
"ART",10361,43.991722218,-76.020277778
"ASE",10372,39.222833334,-106.868666666
"ATL",10397,33.6384523814286,-84.4276190485714
"ATW",10408,44.258000004,-88.519333336
"ATY",10409,44.9105555566667,-97.1543518533333
"AUS",10423,30.19444444,-97.67
"AVL",10431,35.4353703683333,-82.5420833316667
"AVP",10434,41.33861111,-75.72383333
"AZA",10466,33.30777778,-111.65555556
"AZO",10469,42.235416665,-85.55263889
"BAL",10821,39.17555556,-76.67138889
"BDL",10529,41.9387698428571,-72.6834523785714
"BET",10551,60.781527775,-161.834305555
"BFF",10558,41.87490741,-103.59925926
"BFL",10561,35.4325,-119.055555556667
"BFM",10562,30.6265740766667,-88.06805556
"BGM",10577,42.207055554,-75.97761111
"BGR",10581,44.80763889,-68.82791667
"BHC",10590,35.16333333,-114.56444444
"BHM",10599,33.5632638925,-86.754722225
"BIH",10617,37.373111114,-118.363888888
"BIL",10620,45.8075,-108.543055556667
"BIS",10627,46.775833335,-100.749166665
"BJI",10631,47.5098611075,-94.934166665
"BKG",10643,36.53194444,-93.20055556
"BLI",10666,48.79361111,-122.53611111
"BLV",10676,38.5444444466667,-89.8405555566667
"BMI",10685,40.4787962933333,-88.91972222
"BNA",10693,36.125555555,-86.68
"BOI",10713,43.56486111,-116.22388889
"BOS",10721,42.363333335,-71.00625
"BPT",10728,29.95083333,-94.020277778
"BQK",10731,31.2589814833333,-81.46638889
"BQN",10732,18.49486111,-67.12944444
"BRD",10739,46.4011904771429,-94.1355555571429
"BRO",10747,25.90722222,-97.4263888883333
"BRW",10754,71.285,-156.76811111
"BSM",10423,30.19444444,-97.67
"BTM",10779,45.952916665,-112.495694445
"BTR",10781,30.53266667,-91.150111112
"BTV",10785,44.47236111,-73.153194445
"BUF",10792,42.9406481516667,-78.7324074083333
"BUR",10800,34.2001851866667,-118.358055556667
"BWI",10821,39.175444444,-76.668888888
"BZN",10849,45.7777777771429,-111.152341268571
"CAE",10868,33.9386111133333,-81.1181481466667
"CAK",10874,40.914444445,-81.44263889
"CDB",10917,55.2046296283333,-162.724583331667
"CDC",10918,37.701666665,-113.0975
"CDV",10926,60.4925925966667,-145.4725
"CGI",10967,37.224444445,-89.57125
"CHA",10980,35.035833335,-85.20361111
"CHO",10990,38.13961111,-78.452611112
"CHS",10994,32.89888889,-80.039722225
"CID",11003,41.8845370333333,-91.7076851833333
"CIU",11013,46.246388885,-84.469305555
"CKB",11027,39.296888892,-80.228111112
"CLE",11042,41.409722218,-81.853777776
"CLL",11049,30.5887037033333,-96.36361111
"CLT",11057,35.2155555566667,-80.9426851866667
"CMH",11066,39.9963425916667,-82.8898148116667
"CMI",11067,40.0390740733333,-88.2780555566667
"CMX",11076,47.1679629633333,-88.4873148166667
"CNY",11092,38.757444444,-109.75222222
"COD",11097,44.518055555,-109.025694445
"COS",11109,38.80736111,-104.705
"COU",11111,38.8169907416667,-92.2187500016667
"CPR",11122,42.907277778,-106.46372222
"CRP",11140,27.77100694375,-97.50152777625
"CRW",11146,38.374444445,-81.592986115
"CSG",11150,32.516333334,-84.93888889
"CVG",11193,39.048333335,-84.668194445
"CWA",11203,44.77986111,-89.66291667
"CYS",11233,41.155694445,-104.81138889
"DAB",11252,29.1816666666667,-81.05453704
"DAL",11259,32.8467361075,-96.851805555
"DAY",11267,39.901666665,-84.21972222
"DBQ",11274,42.40597222,-90.710138885
"DCA",11278,38.851666666,-77.037611112
"DDC",11283,37.762361115,-99.96527778
"DEC",11288,39.834305555,-88.867083335
"DEN",11292,39.818055555,-104.77638889
"DFW",11298,32.896527775,-97.037083335
"DHN",11308,31.320555555,-85.448888885
"DIK",11315,46.798819445,-102.801527775
"DLG",11336,59.043194445,-158.506111115
"DLH",11337,46.842111108,-92.192944444
"DQF",10466,33.30777778,-111.65555556
"DRO",11413,37.1546031757143,-107.749761904286
"DRT",11415,29.37416667,-100.92722222
"DSM",11423,41.5339930575,-93.659409725
"DTW",11433,42.214583335,-83.348888885
"DUT",11445,53.898833334,-166.543222222
"DVL",11447,48.115166668,-98.908833332
"EAR",11468,40.727638885,-99.00277778
"EAT",11470,47.398722224,-120.206666664
"EAU",11471,44.8649074033333,-91.4862037033333
"ECP",11481,30.358055555,-85.797222225
"EGE",11503,39.642944446,-106.92211111
"EKO",11525,40.824777778,-115.791166668
"ELM",11537,42.1599999983333,-76.8923611116667
"ELP",11540,31.80711111,-106.377
"ERI",11577,42.0816666666667,-80.1762037033333
"ESC",11587,45.72166667,-87.09013889
"EUG",11603,44.122638885,-123.21472222
"EVV",11612,38.03861111,-87.5306481466667
"EWN",11617,35.0731250025,-77.0428819475
"EWR",11618,40.694166665,-74.17013889
"EYW",11624,24.5559259266667,-81.75972222
"FAI",11630,64.8149074066667,-147.858611113333
"FAR",11637,46.9172222266667,-96.81509259
"FAT",11638,36.77638889,-119.718134921429
"FAY",11641,34.99125,-78.88027778
"FCA",11648,48.31166667,-114.25361111
"FLG",11695,35.13902778,-111.67041667
"FLL",11697,26.072453705,-80.1516203716667
"FLO",11699,34.187083335,-79.724166665
"FNT",11721,42.965777782,-83.743666666
"FOD",11725,42.551805555,-94.19083333
"FSD",11775,43.580416665,-96.741388885
"FSM",11778,35.3362037066667,-94.36712963
"FWA",11823,40.97833333,-85.189861115
"GCC",11865,44.3497222233333,-105.534629626667
"GCK",11867,37.92824074,-100.72796296
"GEG",11884,47.619583335,-117.53402778
"GFK",11898,47.94958333,-97.17625
"GGG",11905,32.38527778,-94.713333335
"GJT",11921,39.120555555,-108.52027778
"GNV",11953,29.68986111,-82.27375
"GPT",11973,30.406666665,-89.07013889
"GRB",11977,44.485388888,-88.129888888
"GRI",11980,40.96736111,-98.308194445
"GRK",11982,31.06597222,-97.828194445
"GRR",11986,42.8810185166667,-85.5237037066667
"GSO",11995,36.096666665,-79.941944445
"GSP",11996,34.89777778,-82.2155555566667
"GTF",12003,47.483111112,-111.369722224
