Airport,Year
ACY,2018
ADK,2018
AEX,2018
AKN,2018
BGR,2018
BIS,2018
DAB,2018
DCA,2018
GFK,2018
HNL,2018
MQT,2018
MSP,2018
ORD,2018
OTZ,2018
PDX,2018
PIH,2018
ROW,2018
SBA,2018
SGU,2018
SLN,2018
XWA,2018
YUM,2018
ACY,2019
ADK,2019
AEX,2019
AKN,2019
BGR,2019
BIS,2019
DAB,2019
DCA,2019
GFK,2019
HNL,2019
MQT,2019
MSP,2019
ORD,2019
OTZ,2019
PDX,2019
PIH,2019
PSE,2019
ROW,2019
SBA,2019
SGU,2019
SLN,2019
YUM,2019
ACY,2020
ADK,2020
AEX,2020
AKN,2020
BGR,2020
BIS,2020
DAB,2020
DCA,2020
GFK,2020
HNL,2020
MQT,2020
MSP,2020
ORD,2020
OTZ,2020
PDX,2020
PIH,2020
PSE,2020
ROW,2020
SBA,2020
SGU,2020
SLN,2020
YUM,2020
ACY,2021
ADK,2021
AEX,2021
AKN,2021
BGR,2021
BIS,2021
DAB,2021
DCA,2021
GFK,2021
HNL,2021
ISN,2021
MQT,2021
MSP,2021
ORD,2021
OTZ,2021
PDX,2021
PIH,2021
PSE,2021
ROW,2021
SBA,2021
SGU,2021
SLN,2021
YUM,2021
ACY,2022
ADK,2022
AEX,2022
AKN,2022
BGR,2022
BIS,2022
DAB,2022
DCA,2022
ESC,2022
GFK,2022
HNL,2022
ISN,2022
JHM,2022
MQT,2022
MSP,2022
ORD,2022
OTZ,2022
PDX,2022
PIH,2022
ROW,2022
SBA,2022
SGU,2022
SLN,2022
YUM,2022
ACY,2023
ADK,2023
AEX,2023
AKN,2023
BGR,2023
BIS,2023
DAB,2023
DCA,2023
DHN,2023
ESC,2023
GFK,2023
HNL,2023
ISN,2023
MQT,2023
MSP,2023
ORD,2023
OTZ,2023
PDX,2023
PIH,2023
ROW,2023
SBA,2023
SGU,2023
SLN,2023
YUM,2023
ACY,2024
ADK,2024
AEX,2024
AKN,2024
BGR,2024
BIS,2024
BJI,2024
DAB,2024
DCA,2024
EGE,2024
ESC,2024
FCA,2024
GFK,2024
HNL,2024
ISN,2024
JHM,2024
MQT,2024
MSP,2024
ORD,2024
OTZ,2024
PDX,2024
PGV,2024
PIH,2024
ROW,2024
SBA,2024
SGU,2024
SLN,2024
YUM,2024
