ID,STATION
ACY,USW00093730
ADK,USW00025704
AEX,USW00093915
AKN,USW00025503
BGR,USW00014606
BIS,USW00024011
DAB,USW00012834
DCA,USW00013743
GFK,USW00014916
HNL,USW00022521
MQT,USW00094014
MSP,USW00014922
ORD,USW00094846
OTZ,USW00026616
PDX,USW00024229
PIH,USW00024108
ROW,USW00023009
SBA,USW00023190
SGU,USW00023186
SLN,USW00003919
XWA,USW00094014
YUM,USW00003145
PSE,RQC00667292
ISN,USW00094014
ESC,USW00094853
JHM,USW00022552
BJI,USI0000KY49
EGE,USW00000424
FCA,USW00024146
PGV,USW00013783
DHN,USW00013839
